2021-07-20 22:51:56: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:52:17: Time: 450
2021-07-20 22:52:17: Time: 451
2021-07-20 22:52:17: Time: 452
2021-07-20 22:52:17: Time: 453
2021-07-20 22:52:17: Time: 454
2021-07-20 22:52:17: Time: 455
2021-07-20 22:52:17: Time: 456
2021-07-20 22:52:17: Time: 457
2021-07-20 22:52:17: Time: 458
2021-07-20 22:52:18: Time: 459
2021-07-20 22:52:18: Time: 460
2021-07-20 22:52:18: Time: 461
2021-07-20 22:52:18: Time: 462
2021-07-20 22:52:18: Time: 463
2021-07-20 22:52:18: Time: 464
2021-07-20 22:52:18: Time: 465
2021-07-20 22:52:18: Time: 466
2021-07-20 22:52:18: Time: 467
2021-07-20 22:52:18: Time: 468
2021-07-20 22:52:18: Time: 469
2021-07-20 22:52:18: Time: 470
2021-07-20 22:52:18: Time: 471
2021-07-20 22:52:18: Time: 472
2021-07-20 22:52:18: Time: 473
2021-07-20 22:52:18: Time: 474
2021-07-20 22:52:18: Time: 475
2021-07-20 22:52:18: Time: 476
2021-07-20 22:52:18: Time: 477
2021-07-20 22:52:18: Time: 478
2021-07-20 22:52:19: Time: 479
2021-07-20 22:52:19: Time: 480
2021-07-20 22:52:19: Time: 481
2021-07-20 22:52:19: Time: 482
2021-07-20 22:52:19: Time: 483
2021-07-20 22:52:19: Time: 484
2021-07-20 22:52:19: Time: 485
2021-07-20 22:52:19: Time: 486
2021-07-20 22:52:19: Time: 487
2021-07-20 22:52:19: Time: 488
2021-07-20 22:52:19: Time: 489
2021-07-20 22:52:19: Time: 490
2021-07-20 22:52:19: Time: 491
2021-07-20 22:52:19: Time: 492
2021-07-20 22:52:19: Time: 493
2021-07-20 22:52:19: Time: 494
2021-07-20 22:52:19: Time: 495
2021-07-20 22:52:19: Time: 496
2021-07-20 22:52:19: Time: 497
2021-07-20 22:52:20: Time: 498
2021-07-20 22:52:20: Time: 499
